,Query_num,query,model_type,NF,preference_type,MOO_method,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag
9218,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.804466348,23.1768845,73285,3937.570572,0.140285257,2
9219,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.723544308,33,27195,502.161026,0.004195876,2
9220,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.804466348,23.1768845,73285,4824.981689,0.131879094,2
9330,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.787494581,107,133975,1381.015778,0.004837995,2
9331,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.818748634,23.1980888,439015,3953.197479,0.143519471,2
9332,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.767524812,90,52290,1709.909439,0.005040858,2
9333,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.798799291,23.19659825,154970,2554.243088,0.103011791,2
9334,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.787494581,107,133975,1223.905563,0.00436807,2
9335,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.798799291,23.19659825,154970,3581.361771,0.123957213,2
9336,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,DNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.767524812,90,52290,627.571106,0.003965028,2
9337,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,DNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.798799291,23.19659825,154970,3859.632492,0.131388915,2
9338,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,DNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.624381138,33,27195,1693.901062,0.004550345,2
9339,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,DNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.77989186,23.17689577,73285,2902.02713,0.132303155,2
9340,3,"[['couch', 'skis'], ['fork', 'apple']]",ModelOpt,DNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.624381138,33,27195,1036.586761,0.004342175,2
9341,3,"[['couch', 'skis'], ['fork', 'apple']]",OrderOpt,DNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.77989186,23.1768957,73285,3232.013702,0.124351324,2
9451,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.902352292,53,18895,328.9051056,0.00427993,2
9452,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.936881589,23.21083295,389950,2431.745529,0.155654963,2
9453,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.902352292,53,18895,551.5174866,0.004489958,2
9454,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.927443822,23.207,199075,2042.949677,0.175762935,2
9455,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.902352292,53,18895,925.27771,0.004631672,2
9456,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.927443822,23.207,199075,1505.937576,0.144070724,2
9457,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.902352292,53,18895,248.2700348,0.004287648,2
9458,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.902352292,23.207,18895,1992.462158,0.123238104,2
9459,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.902352292,53,18895,141.0503387,0.004093622,2
9460,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.902352292,23.207,18895,1475.236893,0.118654699,2
9461,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.902352292,53,18895,298.1376648,0.004069219,2
9462,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.886589428,22.2343907,20515,2250.053406,0.141122952,2
9572,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.693578181,57,25095,872.3735809,0.004235893,2
9573,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.728328685,23.14967233,703670,4863.361359,0.140017583,2
9574,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.688826135,53,18895,502.1419525,0.004216969,2
9575,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,DNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.700951036,23.20701844,199075,7452.05307,0.184047688,2
9576,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.693578181,57,25095,392.3416138,0.004240295,2
9577,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,DNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.688826135,23.207,18895,3907.297134,0.121673654,2
9578,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,DNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.693578181,57,25095,659.2559814,0.004228533,2
9579,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,DNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.688826135,23.207,18895,3027.563095,0.120802455,2
9580,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,DNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.688826135,53,18895,768.6634064,0.004096067,2
9581,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,DNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.688826135,23.207,18895,4690.675735,0.134985799,2
9582,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",ModelOpt,DNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.688826135,53,18895,611.9804382,0.004144759,2
9583,4,"[['spoon', 'toilet'], ['skateboard', 'backpack']]",OrderOpt,DNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.688826135,23.207,18895,3686.767578,0.116558116,2
9693,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.008371871,88,54770,219.6140289,0.003882365,2
9694,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.008408684,23.441,101890,1552.782059,0.134652692,2
9695,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.008371871,88,54770,517.7707672,0.004409057,2
9696,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,0.008371871,23.44102241,54770,1443.006516,0.13138612,2
9697,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.008371871,88,54770,203.4568787,0.004018729,2
9698,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,0.008371871,23.441,54770,1552.761078,0.119774748,2
9699,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.008371871,88,54770,361.0725403,0.003873587,2
9700,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,0.008371871,23.441,54770,1286.434174,0.121366468,2
9701,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.008371871,88,54770,753.0059814,0.005295378,2
9702,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,0.008371871,23.441,54770,831.0317993,0.110019211,2
9703,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.006461254,55,28815,486.5036011,0.004979894,2
9704,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",OrderOpt,CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,0.008371871,23.441,54770,1333.208084,0.158031976,2
9814,0,"[['zebra', 'handbag'], ['parking_meter'], ['skis']]",ModelOpt,DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,0.94268696,95,68875,597.9290009,0.004946014,2
