,query,NF,preference_type,MOO_method,zoo,trial,comp_time,work,output_flag
36,"[['entertainment', 'sports', 'politics'], ['society', 'computers'], ['neutral']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,tweet,0,38.37871551513672,0.0031046257813297337,2
37,"[['computers', 'business'], ['negative'], ['family', 'health', 'per']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,tweet,0,27.225732803344727,0.003229335038359075,2
38,"[['neutral', 'sports', 'negative'], ['entertainment'], ['loc', 'business']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,tweet,0,62.48164176940918,0.0058953203388166725,2
39,"[['loc', 'health', 'org'], ['positive', 'neutral', 'computers']]",DNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,tweet,0,39.88146781921387,0.004074381641294342,2
40,"[['surfboard', 'traffic_light', 'tennis_racket'], ['handbag', 'scissors', 'remote']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,81.63762092590332,0.01463150177699278,2
41,"[['backpack', 'remote'], ['vase'], ['hair_drier', 'elephant', 'boat']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,68.60518455505371,0.01357061248475762,2
42,"[['motorcycle', 'sports_ball'], ['toothbrush'], ['sink', 'bear'], ['cell_phone']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,64.38636779785156,0.0147142900473055,2
43,"[['motorcycle', 'handbag', 'cup'], ['donut', 'cake', 'remote']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,76.89428329467773,0.01482281788643741,2
44,"[['frisbee'], ['cat', 'toaster', 'boat'], ['zebra'], ['cup']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,112.34378814697266,0.015562902974274914,2
45,"[['cow', 'carrot'], ['banana', 'backpack'], ['surfboard', 'airplane']]",CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,COCO,0,55.693626403808594,0.014821605140313889,2
