,query,NF,preference_type,MOO_method,model_selection,model_ordering,num_pred,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag,actual_cost,actual_f1
37,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_min_max,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",3,0.794581216,18,142909075,9.999990463,0.004589258,2,18,0.745
38,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_min_max,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",3,0.794581216,18,142909075,15.00058174,0.006205435,2,18,0.745
39,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_min_max,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",3,0.794581216,18,142909075,16.96610451,0.00755347,2,18,0.745
40,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_min_max,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,14.98675346,0.007534135,2,16,0.069
41,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_min_max,"{'bottle': 'model_16', 'tv': 'model_16', 'chair': 'model_16'}","['bottle', 'tv', 'chair']",3,0.794581216,18,142909075,16.96372032,0.005339592,2,18,0.745
42,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,8.010149002,0.005373567,2,16,0.069
43,( bottle | tv ) & ( chair ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,7.997274399,0.005373567,2,16,0.069
44,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,8.994817734,0.005373567,2,16,0.069
45,( bottle | tv ) & ( chair ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,9.003639221,0.005373567,2,16,0.069
46,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,7.963418961,0.005373567,2,16,0.069
47,( bottle | tv ) & ( chair ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",greedy_MOO,"{'bottle': 'model_46', 'tv': 'model_46', 'chair': 'model_46'}","['bottle', 'tv', 'chair']",3,0.604484608,16,44347377,8.000135422,0.005373567,2,16,0.069
48,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,14.99724388,0.009434764,2,18,0.756
49,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,16.96276665,0.009423295,2,18,0.756
50,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,16.00170135,0.009423752,2,18,0.756
51,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,14.00089264,0.00942343,2,18,0.756
52,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,13.96369934,0.00942343,2,18,0.756
53,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_sum,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,14.98508453,0.00940843,2,18,0.756
54,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",lexicographic,"{'person': 'model_11', 'dog': 'model_11', 'dining_table': 'model_11', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.955113293,42,705967558,5.998849869,0.00130251,2,42,0.756
55,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",lexicographic,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.950309962,18,142909075,1.001119614,0.000541961,2,18,0.756
56,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",lexicographic,"{'person': 'model_11', 'dog': 'model_11', 'dining_table': 'model_11', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",4,0.955113293,42,705967558,2.996444702,0.001239441,2,42,0.756
