,query,NF,preference_type,MOO_method,model_selection,model_ordering,opt_acc,opt_cost,opt_mem,comp_time,work,output_flag
59,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",lexicographic,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.950309961708,18.0,142909075.0,0.9977817535400391,0.0005423719729729731,2
60,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.950309961707999,18.0,142909075.0,16.997814178466797,0.007172024157415009,2
61,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617080112,18.0,142909075.0,10.999679565429688,0.005292781562274209,2
62,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617080006,18.0,142909075.0,18.00084114074707,0.008702797697346701,2
63,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'acc_loss_norm', 'memory_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617080003,18.0,142909075.0,16.997814178466797,0.00860792643116593,2
64,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'cost_norm', 'memory_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617080003,18.0,142909075.0,18.004655838012695,0.008605973244896717,2
65,( person | dog ) & ( dining_table | couch ),CNF,"['acc_loss_norm', 'memory_norm', 'cost_norm']",weighted_min_max,"{'person': 'model_16', 'dog': 'model_16', 'dining_table': 'model_16', 'couch': 'model_16'}","['person', 'dog', 'dining_table', 'couch']",0.9503099617080112,18.0,142909075.0,10.001659393310547,0.005084059179619985,2
66,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'cost_norm', 'acc_loss_norm']",greedy_MOO,"{'person': 'model_66', 'dog': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'dog', 'dining_table', 'couch']",0.9107959761249991,85.0,135686683.0,12.999773025512695,0.0075923503505304045,2
67,( person | dog ) & ( dining_table | couch ),CNF,"['memory_norm', 'acc_loss_norm', 'cost_norm']",greedy_MOO,"{'person': 'model_66', 'dog': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'dog', 'dining_table', 'couch']",0.9107959761249991,85.0,135686683.0,11.99483871459961,0.0075923503505304045,2
68,( person | dog ) & ( dining_table | couch ),CNF,"['cost_norm', 'memory_norm', 'acc_loss_norm']",greedy_MOO,"{'person': 'model_66', 'dog': 'model_66', 'dining_table': 'model_66', 'couch': 'model_66'}","['person', 'dog', 'dining_table', 'couch']",0.9107959761249991,85.0,135686683.0,12.000083923339844,0.0075923503505304045,2
